"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82216556AA","8.0 Feet Bed - Bed Liner - Under-The-Rail","RAM","Bed Liners","270.00","385.00","385.00"
"82216558AA","Bed Liner - Under-The-Rail","RAM","Bed Liners","233.00","312.00","312.00"
"82216557AA","Bed Liner - Under-The-Rail - 5.7 Feet","RAM","Bed Liners","212.00","284.00","284.00"
"82214981AB","Bed Liner - Under-The-Rail - 5.7 Feet - RAM Logo - Conventional Bed","RAM","Bed Liners","261.00","347.00","347.00"
"82215784AB","Bed Mat - 5.7 Feet","RAM","Bed Liners","162.00","237.00","237.00"
"82215785AB","Bed Mat - 6.4 Feet","RAM","Bed Liners","168.00","249.00","249.00"
"82212996AB","Bed Mat - 6.4 Feet - RAM Logo","RAM","Bed Liners","157.00","229.00","229.00"
"82212018","Tailgate Cover","RAM","Bed Liners","48.50","71.20","71.20"
"Spryinbdlinr","Spray In Bedliner","Spray-In Bedliner","Bed Liners","699.00","998.75","699.00"
"82215280","Body Side Molding - Crew Cab - 5.7 Inch - Chrome","RAM","Body Side and Rocker Moldings","349.00","475.00","475.00"
"82215698","Body Side Molding - Crew Cab - 6.4 Inch - Chrome","RAM","Body Side and Rocker Moldings","280.00","372.00","372.00"
"82213504","Body Side Molding - Quad Cab - 4 Piece - Chrome","RAM","Body Side and Rocker Moldings","201.00","299.00","299.00"
"82215697","Body Side Molding - Quad Cab - 6.4 Inch - Chrome","RAM","Body Side and Rocker Moldings","407.00","556.00","556.00"
"68650455AA","4K Connected Dual Dash Camera","RAM","Cameras Sensors and Mirrors","351.00","413.00","413.00"
"68650461AA","Adhesive Camera Mount","RAM","Cameras Sensors and Mirrors","25.75","30.85","30.85"
"68650460AA","Direct Wire Kit","RAM","Cameras Sensors and Mirrors","25.75","30.85","30.85"
"68650459AA","Exterior View Plug-In Camera - Driving Assistance","RAM","Cameras Sensors and Mirrors","70.05","82.40","82.40"
"82216066AB","Rear View Camera System","RAM","Cameras Sensors and Mirrors","272.00","462.00","462.00"
"82215770AC","Trailer Camera Kit","RAM","Cameras Sensors and Mirrors","1090.00","1370.00","1370.00"
"82216421AE","Trailer Camera Kit - 360 degree","RAM","Cameras Sensors and Mirrors","1535.00","2575.00","2575.00"
"82216510AA","Trailer Camera Wiring Prep Kit","RAM","Cameras Sensors and Mirrors","296.00","395.00","395.00"
"82216068AD","Trailer Wired Camera Kit","RAM","Cameras Sensors and Mirrors","726.00","916.00","916.00"
"68319193AA","Car Care Kits","RAM","Clothing and Novelty","8.35","14.20","14.20"
"82213793","Front Air Deflector - Chrome","RAM","Deflectors","168.00","249.00","249.00"
"82215750AB","Front Air Deflector - Chrome","RAM","Deflectors","267.00","358.00","358.00"
"82215476","Front Air Deflector - Matte Black","RAM","Deflectors","108.00","161.00","161.00"
"82213794","Front Air Deflector - Tinted","RAM","Deflectors","108.00","161.00","161.00"
"82212764","Hood Air Deflector - Chrome","RAM","Deflectors","137.00","202.00","202.00"
"82215751","Hood Air Deflector - Smoke","RAM","Deflectors","108.00","161.00","161.00"
