"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"68625073AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","459.00","540.00","540.00"
"68625074AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","443.00","521.00","521.00"
"68625102AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","383.00","450.00","450.00"
"68625104AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","340.00","400.00","400.00"
"68625105AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","430.00","507.00","507.00"
"68625107AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","395.00","465.00","465.00"
"68625109AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","332.00","390.00","390.00"
"68625110AA","Truck Bed Panel Storage System","RAM","Truck Bed Accessories","421.00","495.00","495.00"
"68625108AA","Truck Bed Panel Storage System - passenger side - 6.4 feet Bed - Putco","RAM","Truck Bed Accessories","383.00","456.00","456.00"
"82215517AC","Truck Bed Storage System - Conventional Bed - 5.7 feet Bed","RAM","Truck Bed Accessories","2180.00","2740.00","2740.00"
"82215518AC","Truck Bed Storage System - Conventional Bed - 6.4 feet Bed","RAM","Truck Bed Accessories","2290.00","2870.00","2870.00"
"82215869AB","Truck Ram Bar - Matte Black","RAM","Truck Bed Accessories","1125.00","1530.00","1530.00"
"68709201AA","Catalytic Converter Plate - Black Powdercoat","RAM","Undercarriage Armor","531.25","625.00","625.00"
"68709206AA","Catalytic Converter Plate - Black Powdercoat","RAM","Undercarriage Armor","446.25","525.00","525.00"
"68709207AA","Catalytic Converter Plate - Black Powdercoat","RAM","Undercarriage Armor","446.25","525.00","525.00"
"68709208AA","Catalytic Converter Plate - Black Powdercoat","RAM","Undercarriage Armor","548.00","645.00","645.00"
"82214497","Skid Plate - Black Powdercoat","RAM","Undercarriage Armor","106.00","164.00","164.00"
"1R-Leather","1 Row Leather","Leather - NEW","Upholstery","1000.00","2000.00","1600.00"
"2R-Leather","2 Row Leather","Leather - NEW","Upholstery","1399.99","2500.00","1700.00"
"3R-Leather","3 Row Leather","Leather - NEW","Upholstery","1699.99","3000.00","2000.00"
"82215474","Seat Cover - Bench Seat - Crew Cab - Rear - Black","RAM","Upholstery","291.00","399.00","399.00"
"82215472","Seat Cover - Bench Seat - Quad Cab - Rear - Black","RAM","Upholstery","291.00","399.00","399.00"
"82215462","Seat Cover - Bucket Seat - Front - Black","RAM","Upholstery","430.00","574.00","574.00"
"82215463","Seat Cover - Bucket Seat - Front - Black","RAM","Upholstery","422.00","564.00","564.00"
"P5160250AA","Beadlock Wheel Ring - Silver Finish","RAM","Wheel Accessories","262.00","310.00","310.00"
"82212508","Center Cap - 4 Piece - Mopar Logo","RAM","Wheel Accessories","39.95","57.30","57.30"
"P5160154AA","Functional Bead Lock Ring Kit - 17 Inch","RAM","Wheel Accessories","262.00","310.00","310.00"
"82216113AA","Lugnut Kit - 4 Piece - Black","RAM","Wheel Accessories","64.90","109.00","109.00"
"82216081AA","Spare Tire Lock","RAM","Wheel Accessories","53.90","79.85","79.85"
"82203352","Spare Tire Winch Lock","RAM","Wheel Accessories","49.60","74.45","74.45"
"82209133","Spare Tire Winch Lock","RAM","Wheel Accessories","49.60","73.40","73.40"
"82214763AB","Valve Stem Caps with Logo - 4 Piece - Silver","RAM","Wheel Accessories","14.45","20.65","20.65"
"82214002AA","Wheel Lock Kit with Key - 4 Piece","RAM","Wheel Accessories","60.40","86.35","86.35"
"82210429","Wheel Lock Kit with Key - 4 Piece - Chrome","RAM","Wheel Accessories","49.60","73.40","73.40"
"82213502AA","Wheel Lock Kit with Key - 4 Piece - Chrome","RAM","Wheel Accessories","60.40","86.35","86.35"
"82214871AA","Wheel Lock Kit with Key - 4 Piece - Chrome","RAM","Wheel Accessories","63.65","91.75","91.75"
"82212564AA","Wheel Lock Kit with Key - 4 Piece - Exposed Lug Nuts","RAM","Wheel Accessories","65.75","94.85","94.85"
"82216387AA","Wheel Locks - 4 Piece - Black PVD Finish","RAM","Wheel Accessories","74.40","110.00","110.00"
"ALIGNMENT-CAR","4 Wheel Auto Alignment","Universal","Wheel Accessories","0.01","0.02","0.02"
"ALIGNMENT-PE  RFORMANCE-CAR","4 Wheel Performance Auto Alignment","Universal","Wheel Accessories","0.01","0.02","0.02"
"ALIGNMENT-TRUCK","4 Wheel Truck Alignment","Universal","Wheel Accessories","0.01","0.02","0.02"
"CENTER-CAPS","Center Caps","Universal","Wheel Accessories","0.01","0.02","0.02"
"LUG-NUTS","Lug Nuts","Universal","Wheel Accessories","0.01","0.02","0.02"
"NITROGEN-FILL","Nitrogen Filled Tires","Universal","Wheel Accessories","0.01","0.02","0.02"
"PurigeN98","Nitrogen Tire Fill","Universal","Wheel Accessories","29.95","50.00","50.00"
"PowderCoating18","Powder Wheel Coating - 18","Universal","Wheel Accessories","599.00","899.00","899.00"
"PowderCoating20","Powder Wheel Coating - 20","Universal","Wheel Accessories","699.00","999.00","999.00"
"TPMS-SENSOR","TPMS sensor","Universal","Wheel Accessories","0.01","0.02","0.02"
"82213754","6-Spoke Forged Aluminum Wheel - Matte Black","RAM","Wheels","2008.00","2700.00","2700.00"
"82215259AB","6-Spoke Off-road Beadlock Wheel","RAM","Wheels","1628.00","2204.00","2204.00"
"82215260AB","8-Spoke Radical Wheel","RAM","Wheels","2240.00","2988.00","2988.00"
"82215262AB","Cast Aluminum Wheel - Black Onyx Insert - Black","RAM","Wheels","2656.00","3544.00","3544.00"
"82215263AB","Cast Aluminum Wheel - Satin Carbon","RAM","Wheels","1540.00","2072.00","2072.00"
"CERAMIC-SUNROOF","Ceramic Sunroof","Window Film","Window Tint","100.00","499.00","499.00"
"CERAMIC-CR  EWCAB-FRONT","Ceramic Window Tint - Front","Window Film","Window Tint","110.00","499.00","209.00"
"CERAMIC-EXTCAB-FRONT","Ceramic Window Tint - Front","Window Film","Window Tint","110.00","499.00","209.00"
"CERAMIC-REGCAB-FRONT","Ceramic Window Tint - Front","Window Film","Window Tint","110.00","499.00","209.00"
"CERAMIC-VANS-FRONT","Ceramic Window Tint - Front","Window Film","Window Tint","90.00","499.00","189.00"
"CERAMIC-WAGON-FRONT","Ceramic Window Tint - Front","Window Film","Window Tint","100.00","499.00","199.00"
"CERAMIC-CREWCAB-FULL","Ceramic Window Tint - Full","Window Film","Window Tint","320.00","699.00","569.00"
"CERAMIC-EXTCAB-FULL","Ceramic Window Tint - Full","Window Film","Window Tint","320.00","699.00","569.00"
"CERAMIC-REGCAB-FULL","Ceramic Window Tint - Full","Window Film","Window Tint","320.00","699.00","569.00"
"CERAMIC-VANS-FULL","Ceramic Window Tint - Full","Window Film","Window Tint","460.00","699.00","599.00"
"CERAMIC-WAGON-FULL","Ceramic Window Tint - Full","Window Film","Window Tint","400.00","699.00","679.00"
"CERAMIC-CREWCAB-WS","Ceramic Window Tint - Windshield Strip","Window Film","Window Tint","60.00","399.00","399.00"
"CERAMIC-EXTCAB-WS","Ceramic Window Tint - Windshield Strip","Window Film","Window Tint","60.00","399.00","99.00"
"CERAMIC-REGCAB-WS","Ceramic Window Tint - Windshield Strip","Window Film","Window Tint","60.00","399.00","99.00"
"CERAMIC-VANS-WS","Ceramic Window Tint - Windshield Strip","Window Film","Window Tint","60.00","399.00","99.00"
"CERAMIC-WAGON-WS","Ceramic Window Tint - Windshield Strip","Window Film","Window Tint","60.00","399.00","99.00"
"Ceramic-Windshield","Ceramic Windshield Tint","Window Film","Window Tint","180.00","499.00","499.00"
"Generic-Windshield","Generic Windshield Tint","Window Film","Window Tint","160.00","349.00","349.00"
"PANORAMIC-CE  RAMIC-SUNROOF","Panoramic Ceramic Sunroof","Window Film","Window Tint","280.00","499.00","499.00"
"Tint-Sunroof","Sunroof Window Tint","Window Film","Window Tint","80.00","249.00","249.00"
"New-Tintfrnt-Crewcab","Window Tint - Front Two Windows","Window Film","Window Tint","90.00","140.00","169.00"
"New-Tintfrnt-ExtCab","Window Tint - Front Two Windows","Window Film","Window Tint","90.00","140.00","169.00"
"New-Tintfrnt-RegCab","Window Tint - Front Two Windows","Window Film","Window Tint","90.00","140.00","169.00"
"New-Tintfrnt-SUV","Window Tint - Front Two Windows","Window Film","Window Tint","90.00","140.00","169.00"
"New-TintFull-Crewcab","Window Tint - Full","Window Film","Window Tint","260.00","252.00","399.00"
"New-TintFull-ExtCab","Window Tint - Full","Window Film","Window Tint","260.00","196.00","399.00"
"New-TintFull-RegCab","Window Tint - Full","Window Film","Window Tint","260.00","210.00","399.00"
"New-TintFull-SUV","Window Tint - Full","Window Film","Window Tint","320.00","322.00","399.00"
"New-tintWS-Crewcab","Window Tint - Windshield Strip","Window Film","Window Tint","40.00","185.90","70.00"
"New-tintWS-ExtCab","Window Tint - Windshield Strip","Window Film","Window Tint","40.00","185.90","70.00"
"New-tintWS-RegCab","Window Tint - Windshield Strip","Window Film","Window Tint","40.00","185.90","70.00"
"New-tintWS-SUV","Window Tint - Windshield Strip","Window Film","Window Tint","40.00","185.90","70.00"
"DEFLECTORS-4PIECE","Deflectors - 4 Piece - Black","Universal","Deflectors","0.01","0.02","139.99"
"DEFLECTORS-FRONT","Deflectors - Front - 2 Piece - Black","Universal","Deflectors","0.01","0.02","84.95"
"DEFLECTORS-HOOD","Deflectors - Hood  - Black","Universal","Deflectors","0.01","0.02","99.95"
"DEFLECTORS-REAR","Deflectors - Rear - 2 Piece - Black","Universal","Deflectors","0.01","0.02","84.95"
"DEFLECTORS-SUNROOF","Deflectors - Sunroof - Black","Universal","Deflectors","0.01","0.02","89.95"
"SPNEW-CERAMIC","Sunshine Package New Vehicles - CERAMIC","Dealership Packages","Protection Products","485.00","1615.00","1615.00"
"SPNEW-NON-CERAMIC","Sunshine Package New Vehicles - NON-CERAMIC","Dealership Packages","Protection Products","435.00","1545.00","1545.00"
"SPUsed-CERAMIC","Sunshine Package Used Vehicles CERAMIC","Dealership Packages","Protection Products","385.00","1065.00","1065.00"
"SPUsed-NON-CERAMIC","Sunshine Package Used Vehicles NON-CERAMIC","Dealership Packages","Protection Products","345.00","995.00","995.00"
"SPLASH-GUARD-4PC-CAR","Splash Guards Car - 4 piece","Universal","Splash Guards","0.01","0.02","139.00"
"LOWERING-KIT-AUTOS","Lowering kit for Cars","Universal","Suspension","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-16","Best Performance Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-17","Best Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-18","Best Performance Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-19","Best Performance Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
